push_id,user_id,campaign_id,push_type,title,content,deep_link,scheduled_at,sent_at,delivered_at,opened_at,is_delivered,is_opened,failure_reason,created_at
1,268,,social,网站而且网上.,罗瑞关注了你,app://page/social/536,,2025-02-08 14:25:42.409709,,,f,f,,2025-02-08 14:25:42.409709
2,340,,social,的是处理的是国内不断.,杨玉兰关注了你,app://page/social/868,,2025-09-09 19:44:03.409709,2025-09-09 19:44:03.409709,,t,f,,2025-09-09 19:44:03.409709
3,127,,order,知道学校数据个人.,订单即将送达,app://page/order/945,,2025-11-04 19:47:21.409709,2025-11-04 19:47:21.409709,,t,f,,2025-11-04 19:47:21.409709
4,298,,system,资源为了成为.,新功能上线,app://page/system/986,,2025-12-28 01:04:51.409709,2025-12-28 01:04:51.409709,,t,f,,2025-12-28 01:04:51.409709
5,374,,reminder,作为希望推荐.,购物车商品降价了,app://page/reminder/818,,2025-07-24 00:44:06.409709,2025-07-24 00:44:06.409709,,t,f,,2025-07-24 00:44:06.409709
6,226,,order,然后介绍的是推荐.,订单即将送达,app://page/order/633,,2025-08-13 04:30:36.409709,2025-08-13 04:30:36.409709,,t,f,,2025-08-13 04:30:36.409709
7,196,,social,喜欢参加管理工具主题.,张建军关注了你,app://page/social/701,,2025-04-29 10:09:26.409709,2025-04-29 10:09:26.409709,2025-04-29 16:55:26.409709,t,t,,2025-04-29 10:09:26.409709
8,483,,reminder,发表作者所有成功.,会员即将到期，续费享优惠,app://page/reminder/226,,2025-06-27 20:40:35.409709,,,f,f,,2025-06-27 20:40:35.409709
9,259,42,promotion,不过免费.,今日爆款，立省8元,app://page/promotion/874,,2025-11-04 19:51:38.409709,2025-11-04 19:51:38.409709,,t,f,,2025-11-04 19:51:38.409709
10,203,,social,图片世界只是有限准备.,范杰给你发来了私信,app://page/social/910,,2025-11-17 06:57:37.409709,2025-11-17 06:57:37.409709,,t,f,,2025-11-17 06:57:37.409709
11,447,,reminder,环境企业威望项目.,购物车商品降价了,app://page/reminder/973,,2025-07-13 05:51:23.409709,2025-07-13 05:51:23.409709,,t,f,,2025-07-13 05:51:23.409709
12,63,10,promotion,也是为什提供.,限时特惠！5折起,app://page/promotion/622,,2025-07-30 03:52:08.409709,2025-07-30 03:52:08.409709,2025-07-30 13:36:08.409709,t,t,,2025-07-30 03:52:08.409709
13,287,,order,表示方式安全本站.,订单已完成，期待您的评价,app://page/order/555,,2025-11-10 03:16:44.409709,2025-11-10 03:16:44.409709,,t,f,,2025-11-10 03:16:44.409709
14,74,,system,主要情况广告行业.,新功能上线,app://page/system/187,,2025-07-04 02:21:10.409709,2025-07-04 02:21:10.409709,,t,f,,2025-07-04 02:21:10.409709
15,103,,social,能力会员一定名称.,熊淑华给你发来了私信,app://page/social/968,,2025-07-13 10:50:17.409709,2025-07-13 10:50:17.409709,,t,f,,2025-07-13 10:50:17.409709
16,130,,order,处理现在.,订单已完成，期待您的评价,app://page/order/872,,2025-09-08 20:42:36.409709,2025-09-08 20:42:36.409709,2025-09-10 17:12:36.409709,t,t,,2025-09-08 20:42:36.409709
17,330,,system,操作发生你们如果.,新功能上线,app://page/system/601,,2025-05-11 17:35:29.409709,2025-05-11 17:35:29.409709,,t,f,,2025-05-11 17:35:29.409709
