item_id,order_id,product_id,product_name,sku_id,sku_name,quantity,unit_price,discount_amount,actual_amount,created_at
1,187772578673,58,限定德尔玛 毛巾,58,,1,497.68,87.83,497.68,2025-12-22 18:40:35.499656
2,201917979656,36,优质阿迪达斯 篮球鞋,36,,2,4003.64,0.00,8007.28,2025-12-03 04:17:56.499656
3,852275078972,171,热卖科沃斯 冰箱,171,,1,47.41,8.37,47.41,2025-12-26 19:33:17.499656
4,852275078972,199,精选九阳 地毯,199,,1,637.28,33.54,637.28,2025-12-26 19:33:17.499656
5,852275078972,74,新款三星 游戏手机,74,,3,454.05,71.70,1362.15,2025-12-26 19:33:17.499656
6,828454058084,45,热卖美的 刀具,45,,2,258.40,91.20,516.80,2026-01-01 20:17:22.499656
7,828454058084,170,优质惠氏 遥控玩具,170,,1,46.29,0.00,46.29,2026-01-01 20:17:22.499656
8,183814980914,24,限定百草味 大米,24,,2,181.22,63.96,362.44,2026-01-21 17:37:08.499656
9,183814980914,173,优质良品铺子 坚果,173,,1,19.12,0.00,19.12,2026-01-21 17:37:08.499656
10,183814980914,59,优质戴森 冰箱,59,,2,50.12,0.00,100.24,2026-01-21 17:37:08.499656
11,380460818727,72,热卖彪马 帐篷,72,,2,50.23,0.00,100.46,2025-12-04 12:57:01.499656
12,270006160543,159,经典百草味 面粉,159,,1,703.88,0.00,703.88,2025-12-01 21:50:18.499656
13,270006160543,18,精选好孩子 益智玩具,18,,1,889.93,46.84,889.93,2025-12-01 21:50:18.499656
14,270006160543,114,新款完美日记 中性香水,114,,1,33.03,0.00,33.03,2025-12-01 21:50:18.499656
15,554752925731,181,限定UR 套装,181,,1,366.55,0.00,366.55,2025-12-29 20:00:44.499656
16,554752925731,190,经典科沃斯 吹风机,190,,2,4876.96,1083.76,9753.92,2025-12-29 20:00:44.499656
17,413705870510,31,德尔玛 纸巾,31,,3,7445.60,0.00,22336.80,2025-12-26 06:43:21.499656
18,296005913399,37,优质蒙牛 肉类,37,,1,568.41,63.16,568.41,2026-01-10 07:43:56.499656
19,296005913399,130,热卖好奇 毛绒玩具,130,,1,216.34,0.00,216.34,2026-01-10 07:43:56.499656
20,296005913399,64,时尚联想 耳机,64,,1,1279.04,0.00,1279.04,2026-01-10 07:43:56.499656
21,296005913399,77,经典德尔玛 毛巾,77,,3,43.06,0.00,129.18,2026-01-10 07:43:56.499656
22,923848392185,17,惠氏 婴儿推车,17,,1,1594.26,83.91,1594.26,2026-01-12 07:45:31.499656
23,923848392185,60,精选科沃斯 消毒柜,60,,2,5525.68,1227.92,11051.36,2026-01-12 07:45:31.499656
24,703397577637,130,热卖好奇 毛绒玩具,130,,1,194.71,21.63,194.71,2026-01-10 14:03:36.499656
25,703397577637,3,热卖戴森 电视,3,,2,431.47,0.00,862.94,2026-01-10 14:03:36.499656
26,123775918401,87,完美日记 防晒,87,,1,6394.79,0.00,6394.79,2025-10-31 02:14:16.499656
27,123775918401,13,限定特步 足球鞋,13,,2,135.23,47.72,270.46,2025-10-31 02:14:16.499656
28,123775918401,112,戴森 电视,112,,1,1334.00,148.22,1334.00,2025-10-31 02:14:16.499656
29,123775918401,17,惠氏 婴儿推车,17,,2,1678.17,0.00,3356.34,2025-10-31 02:14:16.499656
30,560002094079,53,热卖森马 衬衫,53,,2,729.40,76.78,1458.80,2025-11-21 20:54:31.499656
31,560002094079,12,时尚统一 水果,12,,1,7142.90,375.94,7142.90,2025-11-21 20:54:31.499656
32,560002094079,110,热卖海澜之家 裤子,110,,1,161.03,0.00,161.03,2025-11-21 20:54:31.499656
33,560002094079,186,贝亲 婴儿奶粉,186,,1,334.28,17.59,334.28,2025-11-21 20:54:31.499656
34,560002094079,152,限定彪马 睡袋,152,,2,27.25,0.00,54.50,2025-11-21 20:54:31.499656
35,335566170831,59,优质戴森 冰箱,59,,3,42.60,22.56,127.80,2025-12-20 02:07:32.499656
36,335566170831,151,经典OPPO 笔记本,151,,1,1734.69,0.00,1734.69,2025-12-20 02:07:32.499656
37,345010630736,36,优质阿迪达斯 篮球鞋,36,,1,3403.09,600.55,3403.09,2025-11-21 04:49:52.499656
38,345010630736,30,时尚SK-II 粉底,30,,1,4486.39,0.00,4486.39,2025-11-21 04:49:52.499656
39,345010630736,85,优质耐克 哑铃,85,,2,118.83,41.94,237.66,2025-11-21 04:49:52.499656
40,345010630736,197,OPPO 笔记本,197,,1,806.90,0.00,806.90,2025-11-21 04:49:52.499656
41,345010630736,35,经典苏泊尔 电热水壶,35,,1,267.91,0.00,267.91,2025-11-21 04:49:52.499656
42,627463391659,179,经典SK-II 面膜,179,,3,16.21,0.00,48.63,2025-11-21 11:48:35.499656
43,205890979494,36,优质阿迪达斯 篮球鞋,36,,2,3202.91,1601.46,6405.82,2025-12-15 17:01:41.499656
44,205890979494,109,百草味 肉类,109,,1,305.32,53.88,305.32,2025-12-15 17:01:41.499656
45,205890979494,47,优质珀莱雅 精华,47,,3,28.50,0.00,85.50,2025-12-15 17:01:41.499656
46,205890979494,15,时尚雅培 积木,15,,1,927.45,0.00,927.45,2025-12-15 17:01:41.499656
47,393429929518,146,热卖GXG 内裤,146,,1,469.72,0.00,469.72,2025-12-10 18:49:07.499656
