order_id,order_no,user_id,status,total_amount,discount_amount,shipping_fee,actual_amount,item_count,coupon_id,shipping_address,remark,placed_at,paid_at,shipped_at,delivered_at,cancelled_at,cancel_reason,refunded_at,refund_reason,created_at,updated_at
187772578673,DD2025122242011295,286,delivered,497.68,20.00,0.00,477.68,1,25,,,2025-12-22 18:40:35.499656,2025-12-22 18:53:35.499656,2025-12-24 15:53:35.499656,2025-12-27 15:53:35.499656,,,,,2025-12-22 18:40:35.499656,2025-12-27 15:53:35.499656
201917979656,DD2025120324067642,284,delivered,8007.28,0.00,0.00,8007.28,1,,,请尽快发货,2025-12-03 04:17:56.499656,2025-12-03 04:43:56.499656,2025-12-04 18:43:56.499656,2025-12-11 18:43:56.499656,,,,,2025-12-03 04:17:56.499656,2025-12-11 18:43:56.499656
852275078972,DD2025122648890237,352,delivered,2046.84,0.00,0.00,2046.84,3,,,,2025-12-26 19:33:17.499656,2025-12-26 20:08:17.499656,2025-12-28 14:08:17.499656,2026-01-02 14:08:17.499656,,,,,2025-12-26 19:33:17.499656,2026-01-02 14:08:17.499656
828454058084,DD2026010141873379,279,delivered,563.09,56.31,0.00,506.78,2,124,,,2026-01-01 20:17:22.499656,2026-01-01 21:14:22.499656,2026-01-03 17:14:22.499656,2026-01-10 17:14:22.499656,,,,,2026-01-01 20:17:22.499656,2026-01-10 17:14:22.499656
183814980914,DD2026012158043489,302,delivered,481.80,0.00,0.00,481.80,3,,,,2026-01-21 17:37:08.499656,2026-01-21 18:03:08.499656,2026-01-22 16:03:08.499656,2026-01-29 16:03:08.499656,,,,,2026-01-21 17:37:08.499656,2026-01-29 16:03:08.499656
380460818727,DD2025120426093024,82,delivered,100.46,0.00,0.00,100.46,1,,,,2025-12-04 12:57:01.499656,2025-12-04 13:34:01.499656,2025-12-04 19:34:01.499656,2025-12-05 19:34:01.499656,,,,,2025-12-04 12:57:01.499656,2025-12-05 19:34:01.499656
270006160543,DD2025120188611375,110,delivered,1626.84,0.00,0.00,1626.84,3,,,请尽快发货,2025-12-01 21:50:18.499656,2025-12-01 22:04:18.499656,2025-12-03 15:04:18.499656,2025-12-09 15:04:18.499656,,,,,2025-12-01 21:50:18.499656,2025-12-09 15:04:18.499656
554752925731,DD2025122942832301,182,delivered,10120.47,0.00,0.00,10120.47,2,148,,,2025-12-29 20:00:44.499656,2025-12-29 20:22:44.499656,2025-12-30 09:22:44.499656,2026-01-02 09:22:44.499656,,,,,2025-12-29 20:00:44.499656,2026-01-02 09:22:44.499656
413705870510,DD2025122659292387,132,delivered,22336.80,50.00,0.00,22286.80,1,22,,,2025-12-26 06:43:21.499656,2025-12-26 06:59:21.499656,2025-12-28 00:59:21.499656,2026-01-01 00:59:21.499656,,,,,2025-12-26 06:43:21.499656,2026-01-01 00:59:21.499656
296005913399,DD2026011071708015,105,delivered,2192.97,328.95,0.00,1864.02,4,121,,,2026-01-10 07:43:56.499656,2026-01-10 08:03:56.499656,2026-01-11 15:03:56.499656,2026-01-16 15:03:56.499656,,,,,2026-01-10 07:43:56.499656,2026-01-16 15:03:56.499656
923848392185,DD2026011271129151,181,refunded,12645.62,100.00,0.00,12545.62,2,47,,送货前电话联系,2026-01-12 07:45:31.499656,2026-01-12 08:21:31.499656,2026-01-13 03:21:31.499656,2026-01-18 03:21:31.499656,,,2026-01-25 03:21:31.499656,,2026-01-12 07:45:31.499656,2026-01-25 03:21:31.499656
703397577637,DD2026011074245659,304,delivered,1057.65,0.00,0.00,1057.65,2,,,,2026-01-10 14:03:36.499656,2026-01-10 14:30:36.499656,2026-01-11 10:30:36.499656,2026-01-18 10:30:36.499656,,,,,2026-01-10 14:03:36.499656,2026-01-18 10:30:36.499656
123775918401,DD2025103135992042,351,refunded,11355.59,0.00,0.00,11355.59,4,,,,2025-10-31 02:14:16.499656,2025-10-31 02:40:16.499656,2025-11-01 19:40:16.499656,2025-11-07 19:40:16.499656,,,2025-11-13 19:40:16.499656,,2025-10-31 02:14:16.499656,2025-11-13 19:40:16.499656
560002094079,DD2025112112414877,499,delivered,9151.51,50.00,0.00,9101.51,5,3,,,2025-11-21 20:54:31.499656,2025-11-21 21:02:31.499656,2025-11-22 08:02:31.499656,2025-11-23 08:02:31.499656,,,,,2025-11-21 20:54:31.499656,2025-11-23 08:02:31.499656
335566170831,DD2025122068693761,129,delivered,1862.49,20.00,0.00,1842.49,2,89,,,2025-12-20 02:07:32.499656,2025-12-20 02:33:32.499656,2025-12-21 23:33:32.499656,2025-12-24 23:33:32.499656,,,,,2025-12-20 02:07:32.499656,2025-12-24 23:33:32.499656
