message_id,sender_id,receiver_id,content,message_type,related_post_id,related_product_id,is_read,sent_at,read_at
1,383,104,有时间聊聊吗？,text,,,t,2025-12-02 22:32:07.408612,
2,330,62,关注你很久了,text,,,t,2025-01-27 21:56:07.408612,
3,62,330,电影很多以后公司业务系统城市.,text,,,f,2025-01-27 22:08:07.408612,
4,330,62,谢谢你的回复,text,,,t,2025-01-27 23:48:07.408612,
5,62,330,想请教一下,text,,,t,2025-01-27 23:56:07.408612,
6,330,62,请问方便加个微信吗？,text,,,t,2025-01-27 22:24:07.408612,
7,62,330,谢谢你的回复,text,,,t,2025-01-28 01:41:07.408612,
8,330,62,关注你很久了,text,,,t,2025-01-28 00:14:07.408612,
9,62,330,好的，收到,text,,,t,2025-01-28 01:05:07.408612,
10,330,62,请问方便加个微信吗？,text,,,t,2025-01-27 23:56:07.408612,
11,67,339,空间今天两个现在新闻资料.,text,,,t,2025-06-09 07:32:41.408612,
12,339,67,有时间聊聊吗？,text,,,f,2025-06-09 07:36:41.408612,
13,67,339,想请教一下,text,,,t,2025-06-09 08:16:41.408612,
14,339,67,谢谢你的回复,text,,,t,2025-06-09 08:20:41.408612,
15,67,339,谢谢你的回复,text,,,t,2025-06-09 07:52:41.408612,
16,339,67,能分享一下链接吗？,text,,,f,2025-06-09 09:47:41.408612,
17,67,339,关注你很久了,text,,,f,2025-06-09 13:02:41.408612,
18,339,67,能分享一下链接吗？,text,,,t,2025-06-09 13:22:41.408612,
19,67,339,能分享一下链接吗？,text,,,f,2025-06-09 11:40:41.408612,
20,339,67,有时间聊聊吗？,text,,,t,2025-06-09 09:47:41.408612,
21,433,120,谢谢你的回复,text,,,t,2025-02-16 23:48:21.408612,
22,120,433,能分享一下链接吗？,text,,,f,2025-02-17 00:00:21.408612,
23,433,120,好的，收到,text,,,t,2025-02-17 01:48:21.408612,
24,120,433,你的分享太棒了！,text,,,t,2025-02-17 00:30:21.408612,
25,433,120,关注你很久了,text,,,t,2025-02-17 01:28:21.408612,
26,120,433,孩子作为为了欢迎因此标准显示.,text,,,t,2025-02-17 00:53:21.408612,
27,433,120,请问方便加个微信吗？,text,,,t,2025-02-17 01:00:21.408612,
28,120,433,请问方便加个微信吗？,text,,,t,2025-02-17 05:45:21.408612,
29,308,295,谢谢你的回复,text,,,t,2025-01-31 10:45:10.408612,
30,295,308,你好，想问一下简介客户点击关系.,text,,,t,2025-01-31 11:14:10.408612,
31,308,295,中国地址今天经济上海.,text,,,t,2025-01-31 11:59:10.408612,
32,257,469,想请教一下,text,,,t,2025-02-23 22:32:48.408612,
33,469,257,请问方便加个微信吗？,text,,,t,2025-02-23 23:31:48.408612,
34,257,469,你好，想问一下论坛是一日本首页方面.,text,,,t,2025-02-24 00:10:48.408612,
35,469,257,能分享一下链接吗？,image,,,t,2025-02-24 00:05:48.408612,
36,257,469,你好，想问一下不过电影市场网站登录.,image,,,t,2025-02-24 00:44:48.408612,
37,469,257,你的分享太棒了！,text,,,t,2025-02-24 01:37:48.408612,
38,257,469,你好，想问一下只要积分开发其他直接最新一些.,image,,,t,2025-02-24 03:50:48.408612,
39,56,366,有时间聊聊吗？,text,,,t,2025-08-08 01:05:33.408612,
40,366,56,想请教一下,text,,,t,2025-08-08 01:32:33.408612,
