event_id,user_id,device_id,session_id,event_name,event_time,properties,page_name,referrer,ip_address,created_at
1,181,device_181_2,1,use_coupon,2025-12-27 16:51:46.615573,{},order_list,,,2026-01-25 02:16:12.508295
2,181,device_181_2,1,receive_push,2025-12-27 16:51:53.615573,{},order_list,,,2026-01-25 02:16:12.508295
3,181,device_181_2,1,like_post,2025-12-27 16:52:24.615573,{},product_detail,,,2026-01-25 02:16:12.508295
4,181,device_181_2,1,view_category,2025-12-27 16:52:19.615573,{},checkout,,,2026-01-25 02:16:12.508295
5,181,device_181_2,1,view_post,2025-12-27 16:52:18.615573,{},home,,,2026-01-25 02:16:12.508295
6,181,device_181_2,1,use_coupon,2025-12-27 16:54:06.615573,{},checkout,,,2026-01-25 02:16:12.508295
7,481,device_481_3,2,view_post,2025-11-21 08:14:54.615573,{},post_detail,,,2026-01-25 02:16:12.508295
8,481,device_481_3,2,login,2025-11-21 08:15:13.615573,{},post_feed,,,2026-01-25 02:16:12.508295
9,481,device_481_3,2,search,2025-11-21 08:15:22.615573,"{""keyword"": ""手机""}",category,,,2026-01-25 02:16:12.508295
10,481,device_481_3,2,view_category,2025-11-21 08:15:54.615573,{},order_detail,,,2026-01-25 02:16:12.508295
11,481,device_481_3,2,begin_checkout,2025-11-21 08:15:58.615573,{},checkout,,,2026-01-25 02:16:12.508295
12,481,device_481_3,2,add_favorite,2025-11-21 08:16:09.615573,{},post_feed,,,2026-01-25 02:16:12.508295
13,481,device_481_3,2,use_coupon,2025-11-21 08:17:48.615573,{},category,,,2026-01-25 02:16:12.508295
14,81,device_81_2,3,view_category,2025-12-30 18:20:22.615573,{},post_feed,,,2026-01-25 02:16:12.508295
15,81,device_81_2,3,view_home,2025-12-30 18:20:34.615573,{},post_feed,,,2026-01-25 02:16:12.508295
16,81,device_81_2,3,app_open,2025-12-30 18:21:00.615573,{},product_detail,,,2026-01-25 02:16:12.508295
17,192,device_192_3,4,click_banner,2026-01-04 12:46:22.615573,{},product_detail,,,2026-01-25 02:16:12.508295
18,192,device_192_3,4,click_banner,2026-01-04 12:46:27.615573,{},favorites,,,2026-01-25 02:16:12.508295
19,192,device_192_3,4,register,2026-01-04 12:47:22.615573,{},coupon_center,,,2026-01-25 02:16:12.508295
20,192,device_192_3,4,comment_post,2026-01-04 12:46:49.615573,{},category,,,2026-01-25 02:16:12.508295
21,257,device_257_2,5,edit_profile,2026-01-03 02:52:46.615573,{},settings,,,2026-01-25 02:16:12.508295
22,257,device_257_2,5,click_banner,2026-01-03 02:53:09.615573,{},product_detail,,,2026-01-25 02:16:12.508295
23,257,device_257_2,5,receive_push,2026-01-03 02:53:38.615573,{},cart,,,2026-01-25 02:16:12.508295
24,257,device_257_2,5,app_close,2026-01-03 02:53:31.615573,{},search,,,2026-01-25 02:16:12.508295
25,257,device_257_2,5,view_home,2026-01-03 02:54:38.615573,{},order_detail,,,2026-01-25 02:16:12.508295
26,257,device_257_2,5,view_category,2026-01-03 02:55:06.615573,{},order_list,,,2026-01-25 02:16:12.508295
27,239,device_239_1,6,edit_profile,2025-11-04 23:38:17.615573,{},category,,,2026-01-25 02:16:12.508295
28,239,device_239_1,6,like_post,2025-11-04 23:38:47.615573,{},post_detail,,,2026-01-25 02:16:12.508295
29,239,device_239_1,6,click_push,2025-11-04 23:38:35.615573,{},category,,,2026-01-25 02:16:12.508295
30,239,device_239_1,6,register,2025-11-04 23:39:02.615573,{},product_detail,,,2026-01-25 02:16:12.508295
31,239,device_239_1,6,app_close,2025-11-04 23:39:37.615573,{},order_list,,,2026-01-25 02:16:12.508295
32,239,device_239_1,6,view_post,2025-11-04 23:40:17.615573,{},checkout,,,2026-01-25 02:16:12.508295
33,293,device_293_1,7,follow_user,2025-11-05 14:20:08.615573,{},product_detail,,,2026-01-25 02:16:12.508295
34,293,device_293_1,7,remove_from_cart,2025-11-05 14:20:35.615573,{},category,,,2026-01-25 02:16:12.508295
35,293,device_293_1,7,add_to_cart,2025-11-05 14:20:50.615573,"{""quantity"": 1, ""product_id"": 143}",settings,,,2026-01-25 02:16:12.508295
36,293,device_293_1,7,view_profile,2025-11-05 14:20:32.615573,{},category,,,2026-01-25 02:16:12.508295
37,6,device_6_1,8,edit_profile,2025-12-20 23:18:33.615573,{},checkout,,,2026-01-25 02:16:12.508295
